Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Internal standard peak area,Normalization factor
0 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,0,790000,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,59300,719000,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,205000,800000,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,336000,556000,1
2.5 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,903000,892000,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,1730000,730000,1
25 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,4290000,558000,1
Nedo SED 6,Sample,Field,Sediment,20MC,PFHxA,0,991000,5.4135
NEBO Sed 5,Sample,Field,Sediment,20MC,PFHxA,0,734000,5.2932
NEBO Sed Field Blank,Blank,Field,Sediment,20MC,PFHxA,0,786000,1
NEBO Sed Lab Blank,Blank,Lab,Sediment,20MC,PFHxA,0,839000,1
DI H2O Nianp blank lab 1,Blank,Lab,Water,NIA,PFHxA,0,1060000,1
NEBO Water 1,Sample,Field,Water,20MC,PFHxA,0,1160000,100
Niap water 3,Sample,Field,Water,NIA,PFHxA,475000,964000,100
Niap water 6,Sample,Field,Water,NIA,PFHxA,471000,990000,100
Ni H2O Spike 1 ,Spike,Field,Water,NIA,PFHxA,2350000,906000,1
Ni H2O 5,Sample,Field,Water,NIA,PFHxA,414000,1010000,100
Ni H2O lab blank 2,Blank,Lab,Water,NIA,PFHxA,0,1150000,1
Ne H2O 3 ,Sample,Field,Water,20MC,PFHxA,0,724000,100
Ne Dam Fly,Sample,Field,Biota,20MC,PFHxA,0,1320000,0.2822
Ne Boat,Sample,Field,Biota,20MC,PFHxA,0,990000,0.1503
Ne Nymph,Sample,Field,Biota,20MC,PFHxA,0,1270000,0.0158
Biological Lab Blan,Blank,Field,Biota,20MC,PFHxA,0,1120000,1
Nebo Sed. 2,Sample,Field,Sediment,20MC,PFHxA,0,783000,5.1364
Sand Lab Blank,Blank,Lab,Sediment,20MC,PFHxA,0,848000,1
Nebo Sed 1,Sample,Field,Sediment,20MC,PFHxA,0,950000,5.2524
Nebo Field Blank 1,Blank,Field,Sediment,20MC,PFHxA,0,918000,1
Niapenco Water Field Blank 1,Blank,Field,Water,NIA,PFHxA,0,1400000,1
Niapenco Water 2,Sample,Field,Water,NIA,PFHxA,458000,1130000,100
Nebo Water 6,Sample,Field,Water,20MC,PFHxA,0,972000,100
Niapenco Water 4,Sample,Field,Water,NIA,PFHxA,483000,900000,100
Nebo Sed 3,Sample,Field,Sediment,20MC,PFHxA,0,648000,5.0345
Nebo Sed 4,Sample,Field,Sediment,20MC,PFHxA,0,965000,5.2308
Nebo Sed Lab Blank,Blank,Lab,Sediment,20MC,PFHxA,0,906000,1
Nebo Sed Field Blank,Blank,Field,Sediment,20MC,PFHxA,0,967000,1
Nebo Sucker 1C,Sample,Field,Biota,20MC,PFHxA,0,1090000,0.7998
Nebo Sucker 2 C,Sample,Field,Biota,20MC,PFHxA,0,911000,1.0383
Nebo Sucker 3 C,Sample,Field,Biota,20MC,PFHxA,77600,1190000,1.4575
Nebo Arthropods C,Sample,Field,Biota,20MC,PFHxA,0,929000,0.0198
