Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time,Internal standard peak area,Normalization factor
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.43E+04,2.87,4.05E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,5.27E+04,2.89,4.40E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,7.71E+04,2.88,3.83E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.50E+05,2.89,3.68E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.37E+05,2.88,4.22E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,6.06E+05,2.86,3.96E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.36E+06,2.89,4.03E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.26E+06,2.89,1.09E+06,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,4.22E+06,2.9,3.37E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,5.76E+03,2.83,2.07E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.58E+04,2.9,2.68E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.97E+04,2.88,2.58E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,9.91E+04,2.87,2.63E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.63E+05,2.88,2.61E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,4.62E+05,2.87,3.19E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.01E+06,2.88,2.77E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.58E+06,2.88,8.57E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.46E+06,2.88,3.04E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,6.58E+06,2.89,2.36E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,0.00E+00,0,4.50E+04,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,6.79E+03,2.88,7.74E+04,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.44E+04,2.87,8.94E+04,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.51E+04,2.86,1.10E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,6.62E+04,2.86,1.23E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.87E+05,2.88,1.25E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,4.88E+05,2.87,1.26E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,7.17E+05,2.89,4.57E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.70E+06,2.88,1.40E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.49E+06,2.88,1.11E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,5.61E+03,2.84,1.67E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.62E+04,2.83,2.10E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.36E+04,2.85,1.99E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,6.20E+04,2.85,2.01E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.17E+05,2.86,2.30E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,3.40E+05,2.85,2.35E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,8.21E+05,2.86,2.03E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.17E+06,2.85,6.69E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.57E+06,2.85,2.17E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,4.62E+06,2.85,1.61E+05,1
20MC water ext 1 lab blank,Blank,Lab,Water,20MC,PFHxA,2.46E+04,2.86,4.16E+05,1
20MC water ext 1 field blank,Blank,Field,Water,20MC,PFHxA,2.14E+04,2.88,3.54E+05,1
20MC water ext 1 rep 1,Sample,Field,Water,20MC,PFHxA,5.13E+04,2.88,3.79E+05,100
20MC water ext 1 rep 2,Sample,Field,Water,20MC,PFHxA,5.39E+04,2.89,3.49E+05,100
20MC water ext 1 rep 3,Sample,Field,Water,20MC,PFHxA,4.82E+04,2.88,3.23E+05,100
20MC water ext 2 lab blank,Blank,Lab,Water,20MC,PFHxA,1.78E+04,2.84,2.48E+05,1
20MC water ext 2 field blank,Blank,Field,Water,20MC,PFHxA,5.07E+04,2.85,3.50E+05,1
20MC water ext 2 rep 1,Sample,Field,Water,20MC,PFHxA,6.21E+04,2.88,4.07E+05,100
20MC water ext 2 rep 2,Sample,Field,Water,20MC,PFHxA,4.01E+04,2.91,3.35E+05,100
20MC water ext 2 rep 3,Sample,Field,Water,20MC,PFHxA,5.27E+04,2.88,3.05E+05,100
NIA water ext Grp E lab blank,Blank,Lab,Water,NIA,PFHxA,2.20E+04,2.86,1.44E+06,1
NIA water ext Grp E Field blank,Blank,Field,Water,NIA,PFHxA,1.86E+04,2.88,1.40E+06,1
NIA water ext Grp E rep 1,Sample,Field,Water,NIA,PFHxA,4.96E+05,2.87,1.20E+06,100
NIA water ext Grp E rep 2,Sample,Field,Water,NIA,PFHxA,4.18E+05,2.87,1.02E+06,100
NIA water ext Grp E rep 3,Sample,Field,Water,NIA,PFHxA,4.15E+05,2.9,1.10E+06,100
NIA water ext Grp F lab blank,Blank,Lab,Water,NIA,PFHxA,2.08E+04,2.88,1.06E+06,1
NIA water ext Grp F Field blank,Blank,Field,Water,NIA,PFHxA,1.73E+04,2.87,1.37E+06,1
NIA water ext Grp F rep 1,Sample,Field,Water,NIA,PFHxA,4.54E+05,2.89,8.06E+05,100
NIA water ext Grp F rep 2,Sample,Field,Water,NIA,PFHxA,4.30E+05,2.88,1.16E+06,100
NIA water ext Grp F rep 3,Sample,Field,Water,NIA,PFHxA,3.93E+05,2.87,8.96E+05,100
NIA water ext Grp D lab blank,Blank,Lab,Water,NIA,PFHxA,1.49E+04,2.88,8.74E+05,1
NIA water ext Grp D Field blank,Blank,Field,Water,NIA,PFHxA,1.81E+04,2.9,9.30E+05,1
NIA water ext Grp D rep 1,Sample,Field,Water,NIA,PFHxA,3.41E+05,2.87,8.30E+05,100
NIA water ext Grp D rep 2,Sample,Field,Water,NIA,PFHxA,3.47E+05,2.86,9.74E+05,100
NIA water ext Grp D rep 3,Sample,Field,Water,NIA,PFHxA,3.74E+05,2.87,9.74E+05,100
NIA water ext Grp D spike,Spike,Field,Water,NIA,PFHxA,1.90E+06,2.87,7.87E+05,1
NIA water ext Grp E spike,Spike,Field,Water,NIA,PFHxA,1.01E+06,2.87,1.14E+06,1
20MC water ext 2 spike,Spike,Field,Water,20MC,PFHxA,1.65E+06,2.86,2.88E+05,1
20MC water ext 1 spike,Spike,Field,Water,20MC,PFHxA,1.34E+06,2.87,3.03E+05,1
20MC blender blk Grp B,Blank,Blender,Biota,20MC,PFHxA,1.40E+04,2.89,4.61E+05,1
20MC catfish Grp B rep 1,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.72,2.92E+05,1.0748
20MC catfish Grp B rep 2,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,2.78,2.84E+05,1.009
