Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte.peak.area,Internal.standard.peak.area,Sample mass
0 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,0.00E+00,4.53E+05,1
0.1 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,5.00E+04,4.52E+05,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,1.09E+05,6.22E+05,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,2.68E+05,5.98E+05,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,5.27E+05,6.55E+05,1
2 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,1.36E+06,6.66E+05,1
5 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,3.38E+06,6.85E+05,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,5.66E+06,6.70E+05,1
20 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,8.93E+06,6.77E+05,1
50 ng/mL,Calibration curve,A,N/A,N/A,PFHxA,1.81E+07,5.75E+05,1
0 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,0.00E+00,2.58E+05,1
0.1 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,2.62E+04,2.80E+05,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,5.43E+04,2.66E+05,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,1.19E+05,2.79E+05,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,2.35E+05,3.08E+05,1
2 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,5.93E+05,3.33E+05,1
5 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,1.50E+06,3.37E+05,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,2.56E+06,3.06E+05,1
20 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,4.74E+06,3.17E+05,1
50 ng/mL,Calibration curve,B,N/A,N/A,PFHxA,9.61E+06,2.63E+05,1
20MC water lab blank,Blank,Lab,Water,20MC,PFHxA,2.31E+04,7.14E+05,1
20MC water field blank,Blank,Field,Water,20MC,PFHxA,2.85E+04,5.41E+05,1
20MC water bottle 4 sample 1,Sample,Field,Water,20MC,PFHxA,1.40E+05,4.79E+05,100
20MC water bottle 4 sample 2,Sample,Field,Water,20MC,PFHxA,1.59E+05,5.09E+05,100
20MC water bottle 4 sample 3,Sample,Field,Water,20MC,PFHxA,1.25E+05,5.23E+05,100
20MC water spike 1,Spike,Field,Water,20MC,PFHxA,6.26E+06,5.23E+05,1
20MC water spike 2,Spike,Field,Water,20MC,PFHxA,5.80E+06,5.86E+05,1
20MC water spike 3,Spike,Field,Water,20MC,PFHxA,6.02E+06,5.76E+05,1
20MC Group A blender blank,Blank,Blender,Biota,20MC,PFHxA,1.37E+04,6.19E+05,1
20MC Group A mortas and pestle Blank,Blank,Pestle,Biota,20MC,PFHxA,1.38E+04,5.96E+05,1
20MC Group A catfish 1,Sample,Blender,Biota,20MC,PFHxA,3.03E+04,6.26E+05,1.0617
20MC Group A catfish 2,Sample,Blender,Biota,20MC,PFHxA,2.48E+04,6.66E+05,1.4491
20MC Group A catfish 3,Sample,Blender,Biota,20MC,PFHxA,1.91E+04,4.37E+05,1.3189
20MC Goup A yellow perch,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,4.52E+05,1.6576
20MC Group A beetle,Sample,Pestle,Biota,20MC,PFHxA,8.28E+03,4.42E+05,1.0617
20MC GroupA biota spike,Spike,Blender,Biota,20MC,PFHxA,1.48E+05,3.06E+05,1
20MC Group A boatmen,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,4.41E+05,0.2888
20Mc-group C Biota mortar pestle blank,Blank,Pestle,Biota,20MC,PFHxA,5.44E+03,4.11E+05,1
Group C-20MC-BIO-Blender Blank 2x,Blank,Blender,Biota,20MC,PFHxA,7.21E+03,4.58E+05,1
20Mc-group C Biota crawfish 1,Sample,Pestle,Biota,20MC,PFHxA,3.45E+04,3.06E+05,1.0688
20Mc-group C Biota crawfish 2,Sample,Pestle,Biota,20MC,PFHxA,2.07E+04,1.93E+05,1.4043
20Mc-group C Biota sunfish 1,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,1.67E+05,0.9163
20 MC-group C Biota sunfish 2,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,1.69E+05,0.9769
20Mc-group C Biota sunfish 3,Sample,Blender,Biota,20MC,PFHxA,0.00E+00,1.61E+05,1.036
20Mc-group C Biota waterbug 1,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,9.72E+04,0.7033
