Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Normalization factor,
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,0.00E+00,1.97,1.60E+05,3.65,1,FALSE
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,2.84E+04,3.62,1.74E+05,3.62,1,FALSE
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,4.51E+04,3.62,1.69E+05,3.61,1,FALSE
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,9.09E+04,3.61,1.68E+05,3.61,1,FALSE
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,1.84E+05,3.6,1.74E+05,3.6,1,FALSE
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,3.84E+05,3.61,1.41E+05,3.6,1,FALSE
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,1.10E+06,3.6,1.51E+05,3.6,1,FALSE
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,1.90E+06,3.6,1.70E+05,3.6,1,FALSE
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,3.05E+06,3.59,1.46E+05,3.59,1,FALSE
20MC_100 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,7.21E+06,3.58,1.53E+05,3.58,1,FALSE
20MC_water_lab_blank,Blank,Lab,Water,20MC,PFHxA,5.54E+04,3.59,1.47E+05,3.59,1,FALSE
20MC_water_field_blank,Blank,Field,Water,20MC,PFHxA,1.01E+04,3.59,1.56E+05,3.58,1,FALSE
20MC_water_spike1,Spike,Field,Water,20MC,PFHxA,1.86E+06,3.58,1.56E+05,3.58,1,FALSE
20MC_water_spike2,Spike,Field,Water,20MC,PFHxA,1.60E+06,3.57,1.41E+05,3.57,1,FALSE
20MC_water_sample_1,Sample,Field,Water,20MC,PFHxA,4.27E+04,3.58,1.32E+05,3.58,100,FALSE
20MC_water_sample_2,Sample,Field,Water,20MC,PFHxA,5.43E+04,3.58,1.37E+05,3.58,100,FALSE
20MC_water_sample_3,Sample,Field,Water,20MC,PFHxA,3.57E+04,3.57,1.46E+05,3.57,100,FALSE
20MC_water_sample_4,Sample,Field,Water,20MC,PFHxA,3.86E+04,3.56,1.42E+05,3.57,100,FALSE
20MC_GroupC_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFHxA,0.00E+00,0,8.67E+04,3.57,1,FALSE
20MC_GroupC_sediment_field_blank,Blank,Field,Sediment,20MC,PFHxA,0.00E+00,0,3.11E+04,3.58,1,FALSE
20MC_GroupC_sediment_field_spike,Spike,Field,Sediment,20MC,PFHxA,3.32E+05,3.55,5.80E+04,3.55,1,FALSE
20MC_GroupC_sediment_1,Sample,Field,Sediment,20MC,PFHxA,6.12E+03,3.55,6.30E+04,3.55,0.9993,FALSE
20MC_GroupC_sediment_2,Sample,Field,Sediment,20MC,PFHxA,4.17E+03,3.59,4.16E+04,3.56,0.9969,FALSE
