Sample name ,Date,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Normalization factor
0 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,0,0,208000,1
0.2 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,9280,4.28,281000,1
0.4 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,18800,4.28,324000,1
1 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,42900,4.27,227000,1
2 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,74800,4.27,252000,1
4 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,190000,4.27,175000,1
10 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,465000,4.27,176000,1
20 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,870000,4.25,172000,1
40 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,1410000,4.25,186000,1
100 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFDA,3550000,4.24,190000,1
101921_Water_20MC_LabBlank,101921,Blank,Lab,Water,20MC,PFDA,31200,4.25,160000,1
101921_Water_20MC_FieldBlank,101921,Blank,Field,Water,20MC,PFDA,24100,4.25,157000,1
101921_Water_20MC_Sample1,101921,Sample,Field,Water,20MC,PFDA,20300,4.24,175000,100
101921_Water_20MC_Sample2,101921,Sample,Field,Water,20MC,PFDA,19900,4.23,169000,100
101921_Water_20MC_Sample3,101921,Sample,Field,Water,20MC,PFDA,14200,4.24,162000,100
101921_Water_20MC__Spike1,101921,Spike,Field,Water,20MC,PFDA,492000,4.24,173000,1
101921_Water_20MC__Spike2,101921,Spike,Field,Water,20MC,PFDA,677000,4.22,159000,1
101921_Water_NIA_LabBlank,101921,Blank,Lab,Water,20MC,PFDA,3120,4.15,164000,1
101921_Water_NIA_FieldBlank,101921,Blank,Field,Water,20MC,PFDA,3700,4.17,165000,1
101921_Water_NIA_Sample1,101921,Sample,Field,Water,20MC,PFDA,0,4.2,49500,100
101921_Water_NIA_Sample2,101921,Sample,Field,Water,20MC,PFDA,0,4.2,159000,100
101921_Water_NIA_Sample3,101921,Sample,Field,Water,20MC,PFDA,7880,4.18,67800,100
101921_Water_NIA__Sample4,101921,Sample,Field,Water,20MC,PFDA,0,4.17,118000,100
101921_Water_NIA__Spike1,101921,Spike,Field,Water,20MC,PFDA,390000,4.17,100000,1
101921_Water_NIA__Spike2,101921,Spike,Field,Water,20MC,PFDA,475000,4.17,73900,1
0 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,1960,0,244000,1
0.2 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,8370,3.78,302000,1
0.4 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,15300,3.79,255000,1
1 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,35500,3.78,230000,1
2 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,68700,3.78,270000,1
4 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,161000,3.77,211000,1
10 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,437000,3.77,237000,1
20 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,760000,3.76,255000,1
40 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,1420000,3.76,260000,1
100 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHpA,3340000,3.77,356000,1
101921_Water_20MC_LabBlank,101921,Blank,Lab,Water,20MC,PFHpA,6100,3.75,226000,1
101921_Water_20MC_FieldBlank,101921,Blank,Field,Water,20MC,PFHpA,2000,3.76,215000,1
101921_Water_20MC_Sample1,101921,Sample,Field,Water,20MC,PFHpA,4020,3.74,198000,100
101921_Water_20MC_Sample2,101921,Sample,Field,Water,20MC,PFHpA,2170,3.75,211000,100
101921_Water_20MC_Sample3,101921,Sample,Field,Water,20MC,PFHpA,4000,3.75,231000,100
101921_Water_20MC__Spike1,101921,Spike,Field,Water,20MC,PFHpA,2110000,3.73,231000,1
101921_Water_20MC__Spike2,101921,Spike,Field,Water,20MC,PFHpA,2850000,3.74,212000,1
101921_Water_NIA_LabBlank,101921,Blank,Lab,Water,20MC,PFHpA,1080,3.73,232000,1
101921_Water_NIA_FieldBlank,101921,Blank,Field,Water,20MC,PFHpA,3490,3.7,232000,1
101921_Water_NIA_Sample1,101921,Sample,Field,Water,20MC,PFHpA,7750,3.72,244000,100
101921_Water_NIA_Sample2,101921,Sample,Field,Water,20MC,PFHpA,12700,3.72,302000,100
101921_Water_NIA_Sample3,101921,Sample,Field,Water,20MC,PFHpA,14800,3.71,255000,100
101921_Water_NIA__Sample4,101921,Sample,Field,Water,20MC,PFHpA,12400,3.71,230000,100
101921_Water_NIA__Spike1,101921,Spike,Field,Water,20MC,PFHpA,745000,3.71,270000,1
101921_Water_NIA__Spike2,101921,Spike,Field,Water,20MC,PFHpA,842000,3.7,211000,1
0 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHxA,0,0,160000,1
0.2 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHxA,3710,3.58,174000,1
0.4 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHxA,8420,3.55,169000,1
1 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHxA,17700,3.56,168000,1
2 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHxA,36200,3.56,174000,1
4 ng/mL,101921,Calibration curve,Lab,Water,N/A,PFHxA,101000,3.55,141000,1
