Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Normalization factor
20MC-W-field blank,Blank,Field,Water,20MC,PFHxA,2.01E+04,2.43,2.13E+05,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFHxA,0.00E+00,0,4.34E+04,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFHxA,1.89E+06,2.45,1.72E+05,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFHxA,1.89E+06,2.46,1.60E+05,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFHxA,0.00E+00,0.235,1.08E+05,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFHxA,0.00E+00,0,9.59E+04,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFHxA,2.08E+04,2.47,1.33E+05,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFHxA,2.22E+04,2.43,7.78E+04,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFHxA,7.38E+03,2.44,1.01E+05,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFHxA,2.57E+04,2.43,1.30E+05,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFHxA,9.34E+05,2.45,8.09E+04,1
NIA-W-spike 2,Spike,Field,Water,NIA,PFHxA,8.05E+05,2.44,7.16E+04,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFHxA,9.86E+04,2.45,9.93E+04,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFHxA,1.44E+05,2.43,7.95E+04,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFHxA,8.68E+04,2.46,6.15E+04,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFHxA,0.00E+00,0,4.43E+03,1
20MC-S-GA-sample 1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,1.62E+04,1.0121
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,9.07E+03,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,8.28E+03,1.0155
20MC-S-GA-sample A2-1,Sample,Field,Sediment,20MC,PFHxA,0.00E+00,0,1.54E+03,0.9904
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFHxA,2.59E+03,2.45,1.73E+04,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFHxA,5.70E+03,2.42,1.54E+04,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFHxA,1.51E+04,2.49,2.17E+03,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFHxA,1.46E+03,2.43,1.15E+04,1.0141
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFHxA,1.27E+03,2.42,5.27E+03,1.0831
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFHxA,5.84E+02,2.45,1.51E+04,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFHxA,1.17E+03,2.44,1.54E+04,0.7424
20MC-B-GB-lab blank,Blank,Lab,Biota,20MC,PFHxA,0.00E+00,0,2.88E+03,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFHxA,8.16E+04,2.43,2.12E+04,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFHxA,1.03E+03,2.42,7.49E+03,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFHxA,8.81E+02,2.43,6.28E+03,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,4.23E+03,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,4.17E+03,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,7.11E+03,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFHxA,0.00E+00,0,4.18E+03,0.7269
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFHxA,0.00E+00,0,8.59E+03,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFHxA,8.76E+02,2.43,1.19E+04,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFHxA,6.05E+02,2.43,9.42E+03,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFHxA,0.00E+00,0,6.67E+03,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFHxA,0.00E+00,0,1.73E+03,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFHxA,0.00E+00,0,1.21E+04,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFHxA,3.34E+04,2.44,7.53E+03,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFHxA,0.00E+00,0,6.35E+03,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFHxA,0.00E+00,0,7.20E+03,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFHxA,0.00E+00,0,5.10E+03,1.1744
20MC-B-GC-crayfish 1,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,4.10E+03,1
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,2.88E+03,1
20MC-B-GC-crayfish 3,Sample,Pestle,Biota,20MC,PFHxA,0.00E+00,0,1.99E+03,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,0.00E+00,0,1.13E+04,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,2.68E+03,2.46,1.21E+04,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,6.44E+03,2.45,1.21E+04,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxA,1.55E+04,2.41,1.29E+04,1
