Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Internal standard peak area,Sample mass
MeOH Blank,Blank,Lab,N/A,20MC,PFHxA,73.319,0,1
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,81.747,4327.891,1
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,347.284,2974.957,1
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,644.099,2111.981,1
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,1088.918,1918.201,1
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,2450.487,1924.386,1
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,4013.197,1842.931,1
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,9038.809,1685.563,1
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,21423.76,1640.64,1
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFHxA,44101.586,1804.288,1
MeOH Blank,Blank,Lab,Sediment,20MC,PFHxA,34.659,0,1
20MC grp A sediment lab blank,Blank,Lab,Sediment,20MC,PFHxA,412.812,2986.643,1
20MC grp A sediment field blank,Blank,Field,Sediment,20MC,PFHxA,102.851,2434.21,0.9802
20MC grp A sediment 1,Sample,Field,Sediment,20MC,PFHxA,623.23,2751.769,0.9879
20MC grp A sediment 2,Sample,Field,Sediment,20MC,PFHxA,45.474,2125.441,1.0431
20MC grp A sediment spike,Spike,Lab,Sediment,20MC,PFHxA,19058.695,1770.925,1
20MC grp C sediment lab blank,Blank,Lab,Sediment,20MC,PFHxA,127.167,1403.988,1
20MC grp C sediment field blank,Blank,Field,Sediment,20MC,PFHxA,225.659,3015.599,0.9912
20MC grp C sediment 1,Sample,Field,Sediment,20MC,PFHxA,416.943,2359.247,0.9854
20MC grp C sediment 2,Sample,Field,Sediment,20MC,PFHxA,887.619,2051.087,0.7808
20MC grp C sediment spike,Spike,Lab,Sediment,20MC,PFHxA,19640.916,3327.72,1
20MC grp B sediment lab blank,Blank,Lab,Sediment,20MC,PFHxA,213.52,1709.599,1
20MC grp B sediment field blank,Blank,Field,Sediment,20MC,PFHxA,86.395,1608.518,0.9912
20MC grp B sediment 1,Sample,Field,Sediment,20MC,PFHxA,305.727,0,1.0204
20MC grp B sediment 2,Sample,Field,Sediment,20MC,PFHxA,446.405,2169.229,1.0815
20MC grp B sediment spike,Spike,Lab,Sediment,20MC,PFHxA,11195.273,1785.597,1
20 MC water field blank 1,Blank,Field,Water,20MC,PFHxA,180.475,1393.395,100
20 MC water field blank 2,Blank,Field,Water,20MC,PFHxA,1100.041,1657.74,100
20 MC water sample 1,Sample,Field,Water,20MC,PFHxA,1757.926,1662.14,100
20 MC water sample 2,Sample,Field,Water,20MC,PFHxA,1854.695,10.513,100
20 MC water spike 1,Spike,Field,Water,20MC,PFHxA,9087.573,1415.827,100
MeOH Blank,Blank,Lab,N/A,20MC,PFHxA,39.758,0,1
20 MC biota grp C white bugs blank,Blank,Pestle,Biota,20MC,PFHxA,91.474,1841.442,1
20 MC biota grp C white bugs sample,Sample,Pestle,Biota,20MC,PFHxA,2647.636,150.007,0.1926
20 MC biota grp C white bugs spike,Spike,Pestle,Biota,20MC,PFHxA,5465.894,1604.251,1
20 MC biota grp A hardshell bug blank,Blank,Pestle,Biota,20MC,PFHxA,94.408,1324.342,1
20 MC biota grp A hardshell bug sample,Sample,Pestle,Biota,20MC,PFHxA,19634.168,1837.798,0.5197
20 MC biota grp A hardshell bug spike,Spike,Pestle,Biota,20MC,PFHxA,330.396,1316.7,1
20 MC biota grp B nymph blank,Blank,Homogenizer,Biota,20MC,PFHxA,161.398,3072.646,1
20 MC biota grp B nymph sample,Sample,Homogenizer,Biota,20MC,PFHxA,2434.586,2248.161,0.2189
20 MC biota grp B nymph spike,Spike,Homogenizer,Biota,20MC,PFHxA,3626.69,1513.037,1
20 MC biota grp B mortar and pestle blank,Blank,Pestle,Biota,20MC,PFHxA,76.061,1846.929,1
20 MC biota grp B crayfish sample,Sample,Pestle,Biota,20MC,PFHxA,3493.473,2123.484,0.8061
20 MC biota grp B crayfish spike,Spike,Pestle,Biota,20MC,PFHxA,7414.168,1340.218,1
20 MC biota grp C bug blank,Blank,Pestle,Biota,20MC,PFHxA,106.881,1233.552,1
20 MC biota grp C bug sample,Sample,Pestle,Biota,20MC,PFHxA,496.312,2315.809,0.2294
20 MC biota grp C bug spike,Spike,Pestle,Biota,20MC,PFHxA,11835.405,2726.083,1
20 MC biota grp A sunfish blank,Blank,Blender,Biota,20MC,PFHxA,302.972,1920.585,1
20 MC biota grp A sunfish Johnny sample,Sample,Blender,Biota,20MC,PFHxA,2928.528,2330.337,1.6406
20 MC biota grp A sunfish spike,Spike,Blender,Biota,20MC,PFHxA,9637.688,1342.378,1
20 MC biota grp C catfish blank,Blank,Blender,Biota,20MC,PFHxA,91.363,1428.151,1
20 MC biota grp C catfish blender blank,Blank,Blender,Biota,20MC,PFHxA,106.05,973.2,1
20 MC biota grp C catfish sample 1,Sample,Blender,Biota,20MC,PFHxA,1507.031,2176.733,0.9648
20 MC biota grp C catfish sample 2,Sample,Blender,Biota,20MC,PFHxA,1104.938,1834.803,0.5661
20 MC biota grp C catfish sample 3,Sample,Blender,Biota,20MC,PFHxA,1934.45,2096.698,0.8456
20 MC biota grp C catfish spike,Spike,Blender,Biota,20MC,PFHxA,81321.555,2161.311,1
20 MC biota grp B catfish blank,Blank,Blender,Biota,20MC,PFHxA,65.264,52.616,1
20 MC biota grp B catfish sample 2-1,Sample,Blender,Biota,20MC,PFHxA,1919.464,198.963,1
20 MC biota grp B catfish sample 2-2,Sample,Blender,Biota,20MC,PFHxA,3173.006,192.049,1
20 MC biota grp B catfish sample 2-3,Sample,Blender,Biota,20MC,PFHxA,1401.41,310.707,1
20 MC biota grp B catfish spike,Spike,Blender,Biota,20MC,PFHxA,13199.712,112.644,1
MeOH Blank,Blank,Lab,N/A,20MC,PFHxA,62.226,0,1
MeOH Blank,Blank,Lab,N/A,NIA,PFHxA,62.226,0,1
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,62.281,1255.597,1
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,135.007,1128.623,1
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,234.201,1242.663,1
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,827.117,968.361,1
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,1698.415,1211.573,1
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,3115.093,1035.189,1
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,7195.106,1215.058,1
NIA_20 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,18541.727,1218.421,1
NIA_40 ng/mL,Calibration curve,Lab,N/A,NIA,PFHxA,36844.137,1478.236,1
MeOH Blank,Blank,Lab,N/A,NIA,PFHxA,52.486,0,1
NIA water lab blank,Blank,Lab,Water,NIA,PFHxA,0,1354.933,100
NIA water field blank,Blank,Field,Water,NIA,PFHxA,0,1024.503,100
NIA water sample 1,Sample,Field,Water,NIA,PFHxA,1880.845,1369.566,100
NIA water sample 2,Sample,Field,Water,NIA,PFHxA,1781.749,1609.74,100
NIA water sample 3,Sample,Field,Water,NIA,PFHxA,1930.076,1706.426,100
NIA water spike 1,Spike,Field,Water,NIA,PFHxA,6027.819,1080.785,100
NIA water spike 2,Spike,Field,Water,NIA,PFHxA,6580.763,2223.204,100
NIA sediment grp F lab blank,Blank,Lab,Sediment,NIA,PFHxA,0,1515.516,1
NIA sediment grp F field blank,Blank,Field,Sediment,NIA,PFHxA,0,1775.029,1.0028
NIA sediment grp F sample 1,Sample,Field,Sediment,NIA,PFHxA,0,3610.053,1.087
