Sample Name,Sample Type,Sample group,Matrix,Location,Compound,Analyte peak area,Internal standard peak area,Sample mass
20MC C1 sediment lab blank,Blank,Lab,Sediment,20MC,PFOS,4.75E+03,1.82E+05,
20MC C2 sediment field blank,Blank,Field,Sediment,20MC,PFOS,3.67E+03,1.48E+05,
20MC C3 sediment field sample,Sample,Field,Sediment,20MC,PFOS,3.73E+04,1.62E+05,
20MC C4 sediment sand spike,Spike,Lab,Sediment,20MC,PFOS,2.07E+05,1.64E+05,
20MC C1 biota catfish 1,Sample,Homogenizer,Biota,20MC,PFOS,1.47E+05,1.81E+05,
20MC C4 biota catfish 2,Sample,Homogenizer,Biota,20MC,PFOS,1.96E+05,1.77E+05,
20MC C2 biota bug/beetle,Sample,Homogenizer,Biota,20MC,PFOS,2.53E+05,1.43E+05,
20MC C3 biota catepillar,Sample,Homogenizer,Biota,20MC,PFOS,4.75E+04,2.07E+05,
20MC C5 biota insect,Sample,Homogenizer,Biota,20MC,PFOS,3.78E+04,1.86E+05,
20MC C6 biota homogenization blank,Blank,Homogenizer,Biota,20MC,PFOS,5.16E+04,2.26E+05,
20MC C7 biota lab blank,Blank,Lab,Biota,20MC,PFOS,5.12E+04,2.69E+05,
20MC D1 Hard-shell sample,Sample,Pestle,Biota,20MC,PFOS,3.19E+04,2.36E+05,
20MC D2 Catfish sample,Sample,Homogenizer,Biota,20MC,PFOS,1.08E+05,2.43E+05,
20MC D3 Biota spike,Spike,Homogenizer,Biota,20MC,PFOS,5.79E+03,1.42E+05,
20MC D4 Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFOS,1.23E+04,3.08E+05,
20MC D5 Sediment Field Blank,Blank,Field,Sediment,20MC,PFOS,9.26E+03,2.85E+05,
20MC D6 Sediment Spike,Spike,Lab,Sediment,20MC,PFOS,5.04E+05,2.48E+05,
20MC D7 Sediment Sample,Sample,Field,Sediment,20MC,PFOS,1.74E+04,2.90E+05,
20MC B1 Sediment Lab blank,Blank,Lab,Sediment,20MC,PFOS,9.44E+03,2.30E+05,
20MC B2 Sediment Sample,Sample,Field,Sediment,20MC,PFOS,5.88E+04,2.63E+05,
20MC B3 Sand Spike,Spike,Lab,Sediment,20MC,PFOS,4.16E+05,2.11E+05,
20MC B4 Crayfish Homoblank,Blank,Pestle,Biota,20MC,PFOS,1.27E+04,2.90E+05,
20MC B5 Crayfish MTBE Sample,Sample,Pestle,Biota,20MC,PFOS,6.61E+04,2.59E+05,
20MC B6 Crayfish Spike,Spike,Pestle,Biota,20MC,PFOS,5.19E+05,2.93E+05,
20MC MeOH Blank 1,Blank,Lab,N/A,20MC,PFOS,3.28E+04,1.25E+03,
20MC_0 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,8.11E+03,2.83E+05,
20MC_0.2 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,3.55E+04,2.79E+05,
20MC_0.4 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,5.65E+04,2.94E+05,
20MC_1 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,1.02E+05,2.91E+05,
20MC_2 ng/mL,Calibration Curve,Lab,N/A,20MC,PFOS,1.64E+05,2.74E+05,
