Sample Name,Sample type,Sample group,Matrix,Location,Compound,Analyte Peak Area,Analyte Retention Time (min),Internal Standard Peak Area,Internal Standard Retention Time (min),Normalization factor
0 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,0.00E+00,2.38,8.01E+04,2.38,1.00E+00
0.2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,1.66E+04,2.38,4.80E+04,2.41,1.00E+00
0.4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,2.24E+04,2.41,4.97E+04,2.41,1.00E+00
1 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,5.22E+04,2.41,5.11E+04,2.41,1.00E+00
2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,1.03E+05,2.41,4.82E+04,2.39,1.00E+00
4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,1.64E+05,2.41,4.57E+04,2.41,1.00E+00
10 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,3.55E+05,2.41,4.62E+04,2.39,1.00E+00
20 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,7.79E+05,2.4,4.56E+04,2.41,1.00E+00
40 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,1.12E+06,2.41,3.70E+04,2.4,1.00E+00
100 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxA,2.67E+06,2.43,3.20E+04,2.42,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFHxA,0.00E+00,0,2.73E+04,2.39,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFHxA,1.06E+04,2.43,2.11E+04,2.43,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFHxA,1.09E+04,2.42,2.30E+04,2.39,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFHxA,0.00E+00,0,2.48E+04,2.43,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFHxA,0.00E+00,0,1.93E+04,2.42,1.00E+00
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFHxA,0.00E+00,0,2.36E+04,2.42,1.00E+00
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFHxA,3.58E+03,2.42,1.85E+04,2.44,1.00E+00
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFHxA,5.73E+03,2.43,2.07E+04,2.41,1.00E+00
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFHxA,1.92E+03,2.43,1.87E+04,2.43,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFHxA,1.96E+03,2.45,2.03E+04,2.42,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFHxA,1.08E+04,2.4,1.55E+04,2.43,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFHxA,1.36E+04,2.43,1.73E+04,2.4,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFHxA,1.98E+03,2.45,1.88E+04,2.43,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFHxA,2.97E+04,2.42,1.40E+04,2.42,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFHxA,3.05E+04,2.4,1.42E+04,2.4,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFHxA,2.68E+04,2.36,1.58E+04,2.36,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,3.91E+03,2.45,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,3.30E+03,2.42,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,2.88E+03,2.44,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFHxA,1.60E+04,2.47,1.62E+03,2.5,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,1.36E+03,2.45,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,1.71E+03,2.42,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,9.97E+02,2.48,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFHxA,6.13E+03,2.5,6.94E+02,2.48,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,2.01E+02,2.57,1.17E+03,2.51,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,2.35E+02,2.5,1.52E+03,2.48,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFHxA,2.40E+02,2.58,1.24E+03,2.46,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFHxA,2.94E+03,2.47,5.80E+02,2.45,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFHxA,0.00E+00,0,6.24E+02,2.46,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFHxA,0.00E+00,0,8.83E+02,2.41,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFHxA,0.00E+00,0,6.86E+02,2.45,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFHxA,5.04E+03,2.47,5.56E+02,2.5,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,4.47E+02,2.42,5.53E+03,2.42,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFHxA,4.43E+02,2.43,3.20E+03,2.41,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFHxA,5.21E+02,2.44,2.40E+03,2.41,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFHxA,2.00E+03,2.43,4.29E+03,2.43,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFHxA,1.99E+04,2.44,3.66E+03,2.4,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFHxA,2.32E+04,3.69,3.11E+04,3.93,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFHxA,1.19E+04,3.69,1.86E+04,3.92,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.75E+03,2.44,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFHxA,9.24E+03,2.45,1.34E+03,2.42,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHxA,8.03E+02,2.43,4.08E+03,2.42,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHxA,2.34E+04,2.42,4.57E+03,2.42,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFHxA,2.35E+02,2.43,5.17E+03,2.39,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFHxA,4.65E+02,2.45,3.13E+03,2.43,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFHxA,6.08E+02,2.42,1.75E+03,2.41,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFHxA,3.62E+02,2.42,3.01E+03,2.44,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,4,1.40E+03,2.39,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFHxA,5.43E+03,2.39,1.09E+03,2.44,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.39E+03,2.4,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,1.03E+03,2.48,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHxA,7.54E+02,2.43,3.18E+03,2.41,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHxA,6.31E+03,2.45,4.94E+03,2.99,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFHxA,8.23E+02,2.96,9.51E+03,3.04,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFHxA,5.33E+02,2.93,6.52E+03,3.02,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFHxA,5.19E+02,2.4,2.31E+03,2.44,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFHxA,6.39E+02,2.41,2.30E+03,2.41,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFHxA,5.85E+02,2.44,3.10E+03,2.42,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFHxA,1.85E+04,2.39,3.21E+03,2.41,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.13E+03,2.39,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,2.03,2.21E+03,2.41,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFHxA,0.00E+00,0,3.86E+03,2.43,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFHxA,1.51E+04,2.41,1.98E+03,2.39,1.00E+00
